slug,product_id,rating,review_date,updated_date,status,sweetness,body_level,acidity_level,descriptor_ids,method_facet,abv_bucket,wine_color
sober-spirits-whisky,TDS-0102,84,2026-09-18,2026-09-20,published,,2,3,toffee,other,zero,
be-free-white-sparkling,TDS-0004,77,2026-09-18,2026-09-20,published,2,1,,fruit,unpublished,half,sparkling
original-sin-cider,TDS-0037,78,2026-09-18,2026-09-20,published,2,,3,"apple,acetic,blackberry",not-applicable,zero,
wiesenobst-cider-rose,TDS-0028,85,2026-09-18,2026-09-20,published,2,,3,red_berry,unpublished,half,
chateau-diana-zero-rose,TDS-0084,75,2026-09-18,2026-09-20,published,,,3,fruit,unpublished,half,rose
chateau-diana-zero-white,TDS-0083,76,2026-09-18,2026-09-20,published,,1,,"honeysuckle,floral,tropical",unpublished,half,white
rondel-zero-cava-rose,TDS-0024,80,2026-09-18,2026-09-20,published,2,,3,"strawberry,cherry,green_apple",unpublished,zero,sparkling-rose
zolo-zero-malbec-rose,TDS-0080,74,2026-09-18,2026-09-20,published,,1,3,"red_berry,plum",unpublished,unpublished,rose
valckenberg-zero-riesling,TDS-0064,80,2026-09-18,2026-09-20,published,,1,3,"pineapple,green_apple,lemon,mineral",unpublished,zero,white
mount-fishtail-sauvignon-blanc,TDS-0078,80,2026-09-18,2026-09-20,published,,1,,citrus,unpublished,half,white
claouset-zero-degre,TDS-0118,84,2026-09-20,2026-09-20,published,2,1,3,"lemon,orange_peel,tropical,pineapple,blossom",vacuum-distillation,zero,white
